name,dob,country,nationalTeam,battingStyle,bowlingStyle
Lincoln Roberts,04-09-1974,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm medium
Lindsay Hassett,28-08-1913,Australia,Australia,Right-hand bat,Right-arm medium
Lindsay Kline,29-09-1934,Australia,Australia,Left-hand bat,Chinaman
Lindsay Tuckett,06-02-1919,South Africa,South Africa,Right-hand bat,Right-arm medium-fast
Lindsay Weir,02-06-1908,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Lionel Baker,06-09-1984,Montserrat,West Indies,Left-hand bat,Right-arm fast-medium
Lionel Birkett,14-04-1905,Barbados,West Indies,Right-hand bat,Right-arm medium
Lionel Cann,03-10-1972,Bermuda,Bermuda,Right-hand bat,Right-arm medium
Lionel Palairet,27-05-1870,England,England,Right-hand bat,"Right-arm medium, Right-arm slow underarm"
Lionel Tapscott,18-03-1894,South Africa,South Africa,Right-hand bat,Right-arm
Lisle Nagel,06-03-1905,Australia,Australia,Right-hand bat,Right-arm fast-medium
Liton Das,13-10-1994,Bangladesh,Bangladesh,Right-hand bat,
Llorne Howell,08-07-1972,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Lockie Ferguson,13-06-1991,New Zealand,New Zealand,Right-hand bat,Right-arm fast
Logan van Beek,07-09-1990,New Zealand,Netherlands,Right-hand bat,Right-arm fast-medium
Lonwabo Tsotsobe,07-03-1984,South Africa,South Africa,Right-hand bat,Left-arm fast-medium
Loots Bosman,14-04-1977,South Africa,South Africa,Right-hand bat,Right-arm medium
Lord Harris,03-02-1851,Trinidad and Tobago,England,Right-hand bat,Right-arm fast roundarm
Lord Hawke,16-08-1860,England,England,Right-hand bat,
Lord Tennyson,07-11-1889,England,England,Right-hand bat,Right-arm fast
Lou Vincent,11-11-1978,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Louis Burger,12-03-1978,Namibia,Namibia,Right-hand bat,Right-arm medium
Louis Koen,28-03-1967,South Africa,South Africa,Right-hand bat,
Louis Promnitz,23-02-1904,South Africa,South Africa,Right-hand bat,"Off-break, Leg-break googly"
Louis Stricker,26-05-1884,South Africa,South Africa,Right-hand bat,Right-arm
Louis Tancred,07-10-1876,South Africa,South Africa,Right-hand bat,
LP Jai,01-04-1902,India,India,Right-hand bat,
Lucas Oluoch,07-08-1991,Kenya,Kenya,Right-hand bat,Left-arm fast-medium
Luke Pomersbach,28-09-1984,Australia,Australia,Left-hand bat,Right-arm medium
Luke Ronchi,23-04-1981,New Zealand,New Zealand,Right-hand bat,
Luke Woodcock,19-03-1982,New Zealand,New Zealand,Left-hand bat,Slow left-arm
Luke Wright,07-03-1985,England,England,Right-hand bat,Right-arm medium
Luuk van Troost,28-12-1969,Netherlands,Netherlands,Left-hand bat,Left-arm medium
Mac Anderson,08-10-1919,New Zealand,New Zealand,Left-hand bat,Leg-break googly
Madan Lal,20-03-1951,India,India,Right-hand bat,Right-arm medium
Madhav Apte,05-10-1932,India,India,Right-hand bat,Right-arm
Madhusudan Rege,18-03-1924,India,India,Right-hand bat,Off-break
Mafizur Rahman,10-11-1978,Bangladesh,Bangladesh,Right-hand bat,Right-arm fast-medium
Mahbubul Alam,01-12-1983,Bangladesh,Bangladesh,Right-hand bat,Right-arm medium-fast
Mahbubur Rahman,01-02-1969,Pakistan,Bangladesh,Right-hand bat,
Mahela Jayawardene,27-05-1977,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium
Mahela Udawatte,19-07-1986,Sri Lanka,Sri Lanka,Left-hand bat,Off-break
Mahendra Nagamootoo,09-10-1975,Guyana,West Indies,Left-hand bat,Leg-break googly
Mahendra Singh Dhoni,07-07-1981,India,India,Right-hand bat,Right-arm medium
Mahes Goonatilleke,16-08-1952,Sri Lanka,Sri Lanka,Right-hand bat,
Mahmood Hamid,19-01-1969,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Mahmood Hussain,02-04-1932,India,Pakistan,Right-hand bat,Right-arm fast-medium
Mahmudullah,04-02-1986,Bangladesh,Bangladesh,Right-hand bat,Off-break
Maitland Hathorn,07-04-1878,South Africa,South Africa,Right-hand bat,
Majid Haq,11-02-1983,Scotland,Scotland,Left-hand bat,Off-break
Majid Khan,28-09-1946,India,Pakistan,Right-hand bat,"Right-arm medium, Off-break"
Major Booth,10-12-1886,England,England,Right-hand bat,Right-arm medium-fast
Makhaya Ntini,06-07-1977,South Africa,South Africa,Right-hand bat,Right-arm fast
Mal Loye,27-09-1972,England,England,Right-hand bat,Off-break
Mal Matheson,27-02-1906,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Malachi Jones,26-06-1989,Bermuda,Bermuda,Right-hand bat,Right-arm medium-fast
Malcolm Hilton,02-08-1928,England,England,Right-hand bat,Slow left-arm
Malcolm Jarvis,06-12-1955,Zimbabwe,Zimbabwe,Right-hand bat,Left-arm medium-fast
Malcolm Marshall,18-04-1958,Barbados,West Indies,Right-hand bat,Right-arm fast
Malcolm Waller,28-09-1984,Zimbabwe,Zimbabwe,Right-hand bat,Off-break
Malhar Patel,27-11-1983,India,Kenya,Right-hand bat,
Malinda Warnapura,26-05-1979,Sri Lanka,Sri Lanka,Left-hand bat,Off-break
Malinga Bandara,31-12-1979,Sri Lanka,Sri Lanka,Right-hand bat,Leg-break googly
Man Sood,06-07-1939,India,India,Right-hand bat,
Manan Vohra,18-07-1993,India,,Right-hand bat,Right-arm fast-medium
Mandy Yachad,17-11-1960,South Africa,South Africa,Right-hand bat,Leg-break
Mangesh Panchal,27-12-1973,India,Netherlands,Right-hand bat,Leg-break
Maninder Singh,13-06-1965,India,India,Right-hand bat,Slow left-arm
Manjula Guruge,14-02-1981,Sri Lanka,United Arab Emirates,Right-hand bat,Left-arm fast-medium
Manjula Munasinghe,10-12-1971,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
Manjural Islam,07-11-1979,Bangladesh,Bangladesh,Left-hand bat,Left-arm fast-medium
Manny Aulakh,17-11-1991,India,Canada,Right-hand bat,Right-arm fast-medium
Manny Martindale,25-11-1909,Barbados,West Indies,Right-hand bat,Right-arm fast
Manohar Hardikar,08-02-1936,India,India,Right-hand bat,"Right-arm medium, Off-break"
Manoj Cheruparambil,24-10-1979,India,Hong Kong,Right-hand bat,Right-arm medium
Manoj David,08-02-1975,Sri Lanka,Canada,Right-hand bat,Off-break
Manoj Prabhakar,15-04-1963,India,India,Right-hand bat,Right-arm medium
Manoj Tiwary,14-11-1985,India,India,Right-hand bat,Leg-break googly
Manpreet Gony,04-01-1984,India,India,Right-hand bat,Right-arm medium
Manprit Juneja,12-09-1990,India,,Right-hand bat,Off-break
Mansoor Akhtar,25-12-1957,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Mansoor Amjad,25-12-1986,Pakistan,Pakistan,Right-hand bat,Leg-break googly
Mansoor Rana,27-12-1962,Pakistan,Pakistan,Right-hand bat,Off-break
Mansur Ali Khan Pataudi,05-01-1941,India,India,Right-hand bat,Right-arm medium
Mantu Banerjee,01-11-1917,India,India,Right-hand bat,Right-arm medium
Manzoor Akhtar,16-04-1968,Pakistan,Pakistan,Right-hand bat,Leg-break
Manzoor Elahi,15-04-1963,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Maqsood Ahmed,26-03-1925,India,Pakistan,Right-hand bat,Right-arm medium
Maqsood Rana,01-08-1972,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Marc Petrie,02-03-1990,Scotland,Scotland,Left-hand bat,
Marcel Schewe,10-05-1969,Netherlands,Netherlands,Right-hand bat,
Marchant de Lange,13-10-1990,South Africa,South Africa,Right-hand bat,Right-arm fast
Marcus North,28-07-1979,Australia,Australia,Left-hand bat,Off-break
Marcus Trescothick,25-12-1975,England,England,Left-hand bat,Right-arm medium
Margashayam Venkataramana,24-04-1966,India,India,Right-hand bat,Off-break
Mark Alleyne,23-05-1968,England,England,Right-hand bat,Right-arm medium
Mark Bailey,26-11-1970,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Mark Benson,06-07-1958,England,England,Left-hand bat,Off-break
Mark Boucher,03-12-1976,South Africa,South Africa,Right-hand bat,Right-arm medium
Mark Burgess,17-07-1944,New Zealand,New Zealand,Right-hand bat,Off-break
Mark Burmester,24-01-1968,South Africa,Zimbabwe,Right-hand bat,Right-arm medium
Mark Butcher,23-08-1972,England,England,Left-hand bat,Right-arm medium
Mark Chapman,27-06-1994,Hong Kong,Hong Kong,Left-hand bat,Slow left-arm
Mark Cosgrove,14-06-1984,Australia,Australia,Left-hand bat,Right-arm medium
Mark Craig,23-03-1987,New Zealand,New Zealand,Left-hand bat,Off-break
Mark Dekker,05-12-1969,Zimbabwe,Zimbabwe,Left-hand bat,"Left-arm medium, Slow left-arm"
Mark Douglas,20-10-1968,New Zealand,New Zealand,Left-hand bat,
Mark Ealham,27-08-1969,England,England,Right-hand bat,Right-arm medium-fast
Mark Gillespie,17-10-1979,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Mark Greatbatch,11-12-1963,New Zealand,New Zealand,Left-hand bat,Right-arm medium
Mark Haslam,26-09-1972,England,New Zealand,Left-hand bat,Slow left-arm
Mark Ilott,27-08-1970,England,England,Right-hand bat,Left-arm medium-fast
Mark Johnson,28-10-1963,Jamaica,United States of America,Left-hand bat,
Mark Jonkman,20-03-1986,Netherlands,Netherlands,Right-hand bat,Right-arm medium-fast
Mark Lathwell,26-12-1971,England,England,Right-hand bat,Right-arm medium
Mark Priest,12-08-1961,New Zealand,New Zealand,Left-hand bat,Slow left-arm
Mark Ramprakash,05-09-1969,England,England,Right-hand bat,Off-break
Mark Richardson,11-06-1971,New Zealand,New Zealand,Left-hand bat,Slow left-arm
Mark Rushmere,07-01-1965,South Africa,South Africa,Right-hand bat,Right-arm medium
Mark Taylor,27-10-1964,Australia,Australia,Left-hand bat,Right-arm medium
Mark Vermeulen,02-03-1979,Zimbabwe,Zimbabwe,Right-hand bat,Off-break
Mark Waugh,02-06-1965,Australia,Australia,Right-hand bat,"Right-arm medium, Off-break"
Mark Wood,11-01-1990,England,England,Right-hand bat,Right-arm fast
Marlon Black,07-06-1975,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm fast-medium
Marlon Samuels,05-01-1981,Jamaica,West Indies,Right-hand bat,Off-break
Marlon Vonhagt,31-03-1965,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium
Marshall Ayub,05-12-1988,Bangladesh,Bangladesh,Right-hand bat,Leg-break
Martin Bicknell,14-01-1969,England,England,Right-hand bat,Right-arm fast-medium
Martin Crowe,22-09-1962,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Martin Donnelly,17-10-1917,New Zealand,New Zealand,Left-hand bat,Slow left-arm
Martin Guptill,30-09-1986,New Zealand,New Zealand,Right-hand bat,Off-break
Martin Hanley,10-11-1918,South Africa,South Africa,Right-hand bat,Off-break
Martin Horton,21-04-1934,England,England,Right-hand bat,Off-break
Martin Kent,23-11-1953,Australia,Australia,Right-hand bat,
Martin Love,30-03-1974,Australia,Australia,Right-hand bat,Off-break
Martin McCague,24-05-1969,Ireland,England,Right-hand bat,Right-arm fast
Martin Saggers,23-05-1972,England,England,Right-hand bat,Right-arm fast-medium
Martin Snedden,23-11-1958,New Zealand,New Zealand,Left-hand bat,Right-arm medium-fast
Martin Stead,01-06-1958,Canada,Canada,Right-hand bat,Right-arm medium
Martin Suji,02-06-1971,Kenya,Kenya,Right-hand bat,Right-arm medium-fast
Martin van Jaarsveld,18-06-1974,South Africa,South Africa,Right-hand bat,Off-break
Martyn Moxon,04-05-1960,England,England,Right-hand bat,Right-arm medium
Marvan Atapattu,22-11-1970,Sri Lanka,Sri Lanka,Right-hand bat,Leg-break
Mashrafe Mortaza,05-10-1983,Bangladesh,Bangladesh,Right-hand bat,Right-arm fast-medium
Masood Anwar,12-12-1967,Pakistan,Pakistan,Left-hand bat,Slow left-arm
Masood Iqbal,17-04-1952,Pakistan,Pakistan,Right-hand bat,
Mathew Sinclair,09-11-1975,Australia,New Zealand,Right-hand bat,Right-arm medium
Matt Henderson,02-08-1895,New Zealand,New Zealand,Left-hand bat,Left-arm fast-medium
Matt Henry,14-12-1991,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Matt Horne,05-12-1970,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Matt Machan,15-02-1991,England,Scotland,Left-hand bat,Off-break
Matt Nicholson,02-10-1974,Australia,Australia,Right-hand bat,Right-arm fast-medium
Matt Poore,01-06-1930,New Zealand,New Zealand,Right-hand bat,Off-break
Matt Prior,26-02-1982,South Africa,England,Right-hand bat,
Matthew Bell,25-02-1977,New Zealand,New Zealand,Right-hand bat,Off-break
Matthew Cross,15-10-1992,Scotland,Scotland,Right-hand bat,
Matthew Elliott,28-09-1971,Australia,Australia,Left-hand bat,Left-arm medium
Matthew Fleming,12-12-1964,England,England,Right-hand bat,Right-arm medium
Matthew Hart,16-05-1972,New Zealand,New Zealand,Left-hand bat,Slow left-arm
Matthew Hayden,29-10-1971,Australia,Australia,Left-hand bat,Right-arm medium
Matthew Hoggard,31-12-1976,England,England,Right-hand bat,Right-arm fast-medium
Matthew Maynard,21-03-1966,England,England,Right-hand bat,Right-arm medium
Matthew Parker,02-03-1989,Scotland,Scotland,Left-hand bat,Right-arm medium-fast
Matthew Wade,26-12-1987,Australia,Australia,Left-hand bat,Right-arm medium
Matthew Walker,17-01-1977,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Maurice Allom,23-03-1906,England,England,Right-hand bat,Right-arm medium-fast
Maurice Fernandes,12-08-1897,Guyana,West Indies,Right-hand bat,
Maurice Foster,09-05-1943,Jamaica,West Indies,Right-hand bat,Off-break
Maurice Leyland,20-07-1900,England,England,Left-hand bat,Slow left-arm
Maurice Odumbe,15-06-1969,Kenya,Kenya,Right-hand bat,Off-break
Maurice Read,09-02-1859,England,England,Right-hand bat,Right-arm fast-medium
Maurice Tate,30-05-1895,England,England,Right-hand bat,"Off-break, Right-arm fast-medium, Right-arm medium"
Maurice Tremlett,05-07-1923,England,England,Right-hand bat,Right-arm fast-medium
Maurice Turnbull,16-03-1906,Wales,England,Right-hand bat,Off-break
Maurits Jonkman,20-03-1986,Netherlands,Netherlands,Right-hand bat,Right-arm medium
Maurits van Nierop,11-05-1983,South Africa,Netherlands,Right-hand bat,Right-arm medium
Max Sorensen,18-11-1985,South Africa,Ireland,Right-hand bat,Right-arm fast-medium
Max Walker,12-09-1948,Australia,Australia,Right-hand bat,Right-arm fast-medium
Max Waller,03-03-1988,England,,Right-hand bat,Leg-break
Mazhar Hussain,25-10-1967,Pakistan,United Arab Emirates,Right-hand bat,Leg-break
Mazharul Haque,03-07-1980,Bangladesh,Bangladesh,Right-hand bat,Off-break
Mehmood Quaraishy,04-02-1942,Kenya,,,
Melt van Schoor,07-04-1967,South Africa,Namibia,Right-hand bat,
Merv Harvey,29-04-1918,Australia,Australia,Right-hand bat,
Merv Hughes,23-11-1961,Australia,Australia,Right-hand bat,Right-arm fast
Merv Wallace,19-12-1916,New Zealand,New Zealand,Right-hand bat,Off-break
Mervyn Dillon,05-06-1974,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm fast-medium
Mervyn Grell,18-12-1899,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm medium
Mervyn Waite,07-01-1911,Australia,Australia,Right-hand bat,"Right-arm medium, Off-break"
Mevan Pieris,16-02-1946,Sri Lanka,Sri Lanka,Left-hand bat,Right-arm fast-medium
Meyrick Pringle,22-06-1966,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Mfuneko Ngam,29-01-1979,South Africa,South Africa,Right-hand bat,Right-arm fast
Michael Atherton,23-03-1968,England,England,Right-hand bat,Leg-break
Michael Bates,11-10-1983,New Zealand,New Zealand,Right-hand bat,Left-arm medium
Michael Beer,09-06-1984,Australia,Australia,Right-hand bat,Slow left-arm
Michael Bevan,08-05-1970,Australia,Australia,Left-hand bat,Chinaman
Michael Bracewell,14-02-1991,New Zealand,,Left-hand bat,
Michael Carberry,29-09-1980,England,England,Left-hand bat,Off-break
Michael Chinouya,09-06-1986,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Michael Clarke,02-04-1981,Australia,Australia,Right-hand bat,Slow left-arm
Michael Di Venuto,12-12-1973,Australia,Australia,Left-hand bat,"Right-arm medium, Leg-break googly"
Michael Frederick,06-05-1927,Barbados,West Indies,Right-hand bat,Right-arm medium
Michael Holding,16-02-1954,Jamaica,West Indies,Right-hand bat,Right-arm fast
Michael Hussey,27-05-1975,Australia,Australia,Left-hand bat,Right-arm medium
Michael Kasprowicz,10-02-1972,Australia,Australia,Right-hand bat,Right-arm fast-medium
Michael Klinger,04-07-1980,Australia,Australia,Right-hand bat,Right-arm medium
Michael Leask,29-10-1990,Scotland,Scotland,Right-hand bat,Off-break
Michael Lumb,12-02-1980,South Africa,England,Left-hand bat,Right-arm medium
Michael Mason,27-08-1974,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Michael Owens,11-11-1969,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Michael Papps,02-07-1979,New Zealand,New Zealand,Right-hand bat,
Michael Rippon,14-09-1991,South Africa,Netherlands,Right-hand bat,Chinaman
Michael Slater,21-02-1970,Australia,Australia,Right-hand bat,Right-arm medium
Michael Smith,04-01-1942,England,England,Right-hand bat,Slow left-arm
Michael Swart,01-10-1982,Australia,Netherlands,Right-hand bat,Off-break
Michael Tissera,23-03-1939,Sri Lanka,Sri Lanka,Right-hand bat,Leg-break
Michael Vandort,19-01-1980,Sri Lanka,Sri Lanka,Left-hand bat,Right-arm medium
Michael Vaughan,29-10-1974,England,England,Right-hand bat,Off-break
Michael Yardy,27-11-1980,England,England,Left-hand bat,"Slow left-arm, Left-arm medium"
Mick Commaille,21-02-1883,South Africa,South Africa,Right-hand bat,
Mick Lewis,29-06-1974,Australia,Australia,Right-hand bat,Right-arm fast-medium
Mick Malone,09-10-1950,Australia,Australia,Right-hand bat,Right-arm fast-medium
Mick Melle,03-06-1930,South Africa,South Africa,Right-hand bat,Right-arm fast
Micky Stewart,16-09-1932,England,England,Right-hand bat,Right-arm medium
Miguel Cummins,05-09-1990,Barbados,West Indies,Left-hand bat,Right-arm fast
Mike Allingham,06-01-1965,Scotland,Scotland,Right-hand bat,Right-arm medium
Mike Brearley,28-04-1942,England,England,Right-hand bat,Right-arm medium
Mike Denness,01-12-1940,Scotland,England,Right-hand bat,"Right-arm medium, Off-break"
Mike Findlay,19-10-1943,St Vincent and the Grenadines,West Indies,Right-hand bat,
Mike Gatting,06-06-1957,England,England,Right-hand bat,Right-arm medium
Mike Hendrick,22-10-1948,England,England,Right-hand bat,Right-arm fast-medium
Mike Macaulay,19-04-1939,South Africa,South Africa,Right-hand bat,"Left-arm medium, Slow left-arm"
Mike Procter,15-09-1946,South Africa,South Africa,Right-hand bat,"Right-arm fast, Off-break"
Mike Rindel,09-02-1963,South Africa,South Africa,Left-hand bat,"Left-arm medium-fast, Slow left-arm"
Mike Selvey,25-04-1948,England,England,Right-hand bat,Right-arm fast-medium
Mike Shrimpton,23-06-1940,New Zealand,New Zealand,Right-hand bat,Leg-break
Mike Smith,30-06-1933,England,England,Right-hand bat,Right-arm slow-medium
Mike Veletta,30-10-1963,Australia,Australia,Right-hand bat,
Mike Watkinson,01-08-1961,England,England,Right-hand bat,"Right-arm medium, Off-break"
Mike Whitney,24-02-1959,Australia,Australia,Right-hand bat,Left-arm fast-medium
Miles Bascombe,12-01-1986,St Vincent and the Grenadines,West Indies,Right-hand bat,
Milinda Siriwardene,04-12-1985,Sri Lanka,Sri Lanka,Left-hand bat,Slow left-arm
Milkha Singh,31-12-1941,India,India,Left-hand bat,Right-arm medium
Milton Pydanna,27-01-1950,Guyana,West Indies,Right-hand bat,
Milton Small,12-02-1964,Barbados,West Indies,Right-hand bat,Right-arm fast-medium
Min Patel,07-07-1970,India,England,Right-hand bat,Slow left-arm
Minhajul Abedin,25-09-1965,Pakistan,Bangladesh,Right-hand bat,Off-break
Miran Bakhsh,20-04-1907,India,Pakistan,Right-hand bat,Off-break
